"Table 3-1:  CO2, CH4, and N2O Emissions from Energy (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Petroleum Systems, 49.4 , 49.6 , 48.9 , 49.3 , 48.2 , 48.4 , 50.3 , 51.1 , 49.3 , 47.0 , 48.2 , 48.7 , 48.0 , 49.2 , 49.8 , 48.2 , 52.6 , 52.0 , 55.1 , 50.1 , 51.8 , 54.5 , 53.0 , 62.9 , 64.8 , 61.6 , 51.2 , 60.8 , 59.0 , 52.2 , 53.3 , 48.6 , 39.6 
Stationary Combustion, 9.7 , 9.8 , 10.2 , 9.5 , 9.3 , 9.3 , 9.6 , 8.7 , 8.0 , 8.2 , 8.6 , 8.1 , 8.2 , 8.5 , 8.7 , 8.8 , 8.2 , 8.7 , 8.9 , 8.9 , 9.5 , 9.3 , 8.4 , 9.7 , 9.9 , 9.5 , 8.8 , 8.6 , 9.6 , 9.8 , 8.0 , 8.0 , 8.6 
Abandoned Oil and Gas Wells, 7.8 , 7.9 , 7.9 , 8.0 , 8.0 , 8.1 , 8.1 , 8.1 , 8.1 , 8.2 , 8.2 , 8.2 , 8.2 , 8.2 , 8.2 , 8.2 , 8.2 , 8.3 , 8.3 , 8.3 , 8.3 , 8.3 , 8.3 , 8.3 , 8.3 , 8.4 , 8.4 , 8.4 , 8.4 , 8.5 , 8.5 , 8.6 , 8.5 
Abandoned Underground Coal Mines, 8.1 , 8.2 , 8.9 , 9.2 , 10.8 , 11.0 , 11.3 , 10.1 , 9.2 , 9.3 , 9.8 , 8.9 , 8.2 , 8.0 , 7.7 , 7.4 , 7.3 , 7.1 , 7.1 , 7.1 , 7.4 , 7.2 , 7.0 , 7.0 , 7.1 , 7.2 , 7.5 , 7.2 , 6.9 , 6.6 , 6.5 , 6.3 , 6.3 
Mobile Combustion, 7.2 , 7.0 , 7.1 , 7.0 , 7.0 , 6.9 , 6.8 , 6.6 , 6.4 , 5.8 , 5.5 , 5.2 , 5.0 , 4.7 , 4.6 , 4.3 , 4.2 , 4.1 , 3.8 , 3.6 , 3.6 , 3.6 , 3.4 , 3.3 , 3.1 , 3.1 , 3.0 , 2.9 , 2.8 , 2.9 , 2.5 , 2.6 , 2.6 
Incineration of Waste, +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  
International Bunker Fuelsb, 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 
N2O, 61.2 , 62.5 , 65.2 , 67.7 , 70.1 , 71.9 , 73.8 , 75.4 , 76.5 , 74.6 , 75.2 , 72.9 , 72.4 , 71.8 , 70.9 , 67.9 , 68.0 , 65.5 , 62.6 , 58.7 , 60.0 , 57.9 , 53.5 , 53.9 , 52.3 , 48.3 , 46.9 , 44.4 , 43.2 , 41.6 , 37.1 , 39.2 , 41.9 
Stationary Combustion, 22.3 , 22.3 , 22.5 , 23.2 , 23.6 , 23.8 , 24.4 , 24.8 , 25.2 , 25.2 , 26.5 , 26.2 , 27.2 , 28.3 , 29.4 , 30.5 , 30.3 , 30.6 , 30.3 , 28.1 , 30.4 , 29.2 , 26.9 , 29.1 , 29.3 , 27.1 , 26.7 , 25.3 , 25.1 , 22.2 , 20.5 , 22.0 , 24.7 
Mobile Combustion, 38.4 , 39.9 , 42.3 , 44.1 , 46.0 , 47.7 , 49.0 , 50.2 , 50.9 , 49.0 , 48.3 , 46.4 , 44.9 , 43.2 , 41.1 , 37.0 , 37.4 , 34.5 , 31.9 , 30.3 , 29.3 , 28.2 , 26.2 , 24.5 , 22.6 , 20.8 , 19.8 , 18.7 , 17.7 , 19.1 , 16.1 , 16.8 , 16.7 
Incineration of Waste, 0.4 , 0.3 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.3 , 0.4 , 0.3 
Natural Gas Systems, +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , +  , +  , +  , +  , 0.2 
Petroleum Systems, +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , +  , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , +  , +  , +  , +  , +  
International Bunker Fuelsb, 0.8 , 0.9 , 0.8 , 0.7 , 0.7 , 0.7 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.7 , 0.7 , 0.8 , 0.8 , 0.9 , 0.9 , 0.9 , 0.9 , 0.8 , 0.9 , 0.9 , 0.8 , 0.8 , 0.8 , 0.9 , 0.9 , 0.9 , 1.0 , 0.9 , 0.5 , 0.6 , 0.8 
Total," 5,381.0 "," 5,339.1 "," 5,435.7 "," 5,526.9 "," 5,606.6 "," 5,655.8 "," 5,832.5 "," 5,901.6 "," 5,962.4 "," 6,014.2 "," 6,242.1 "," 6,140.1 "," 6,175.3 "," 6,239.0 "," 6,339.6 "," 6,349.5 "," 6,276.2 "," 6,344.6 "," 6,172.6 "," 5,766.8 "," 5,919.3 "," 5,769.5 "," 5,544.0 "," 5,695.8 "," 5,745.2 "," 5,580.0 "," 5,441.2 "," 5,400.4 "," 5,570.0 "," 5,422.4 "," 4,862.6 "," 5,173.3 "," 5,199.8 "
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Emissions from biomass and biofuel consumption are not included specifically in summing energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Emissions from international bunker fuels are not included in totals. These values are presented for informational purposes only, in line with the 2006 IPCC Guidelines and Paris Agreement and UNFCCC reporting obligations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
