Table 2-12:  U.S. Greenhouse Gas Emissions by Economic Sector and Gas with Electricity-Related Emissions Distributed (MMT CO2 Eq.) and Percent of Total in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions by Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percenta
HFCs,0,0,0,0.3,1.6,2.3,3.4,5,6.7,8.4,9.7,11.6,13.7,15.9,18,21.4,25.2,29.8,34.9,40.6,45.5,49.6,52.7,55.4,57.6,58.9,59.5,58.9,58.5,59.8,60.8,61.9,62.9,1.00%
Electricity-Related,555.5,555.5,554.4,579.4,589.7,604.3,626,666.5,701.9,710.9,758.4,773.4,771.6,771.9,791.8,822.2,818.1,847.9,834.7,771.6,791.6,756,717.7,722.7,724.3,680.9,651.3,622.8,620.8,567.8,494.6,533.2,539,8.50%
CO2,542.6,542.8,541.9,566.7,577.2,592.1,614.2,654.7,690.4,699.2,746.3,761,759.2,759.3,778.8,808.9,804.8,834.6,821.5,759.3,779.3,744.3,706.9,711.3,712.8,670.2,640.7,612.7,611,558.7,486.2,524.2,529.3,8.30%
CH4,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,+%
N2O,5.5,5.5,5.5,5.7,5.9,6,6.2,6.5,6.8,6.9,7.4,7.6,7.9,8.1,8.6,9.1,9.2,9.4,9.3,8.8,9.3,8.9,8.3,8.9,9,8.4,8.3,7.8,7.6,6.6,6,6.5,7.5,0.10%
SF6,7.3,7,6.9,6.7,6.4,6,5.5,5.2,4.4,4.6,4.5,4.6,4.3,4.1,4,4,3.7,3.5,3.5,3.2,2.7,2.4,2.1,2,2.1,1.8,1.9,1.9,1.7,2.1,2,2,1.7,+%
Agriculture,631.1,621.2,622.9,645.8,650.2,657,666.3,653.3,663.2,657.9,649.2,662.9,672.8,667.3,676.1,672.6,677.2,700.4,684.2,680.1,687.7,682.6,667.7,700.8,705.2,698.6,689.5,697.3,722.7,696.3,674.4,681.6,663.6,10.50%
Direct Emissions,595.9,587.4,587.5,608.7,612.2,618.1,625.7,610.7,621,615,607.2,622.4,628.4,627.7,633.5,634.3,638.7,654.9,643,639.8,647.1,641.2,624.4,658.5,660.9,657.4,650.4,658.5,683.5,661,640,645.9,634,10.00%
CO2,50.5,50.1,49.8,49.4,50.1,50.2,49.8,50.1,50,47.7,47.4,49.1,50.8,52.1,56.3,58.7,62.3,60.2,56.5,53.7,55.2,54.8,58.2,54.1,54,49.6,47.9,47.7,47,46.9,47.1,47.4,47.9,0.80%
CH4,241.9,244.6,247.9,252.6,258,264.7,263.3,259.7,264,262.8,264.4,261.4,265.2,262.2,256.6,264.6,265.2,274,269.2,270,272.3,268.1,266.2,262.9,259.8,269.1,277.7,279.1,285.2,280.4,282.6,282,277,4.40%
N2O,303.5,292.7,289.9,306.8,304.1,303.2,312.6,300.9,307.1,304.5,295.4,311.8,312.4,313.4,320.6,311,311.2,320.8,317.3,316.1,319.6,318.4,299.9,341.5,347,338.6,324.8,331.7,351.3,333.7,310.3,316.4,309.1,4.90%
Electricity-Related,35.2,33.8,35.4,37.1,38.1,38.8,40.6,42.6,42.2,42.9,41.9,40.5,44.4,39.6,42.5,38.3,38.5,45.5,41.1,40.2,40.6,41.3,43.3,42.3,44.3,41.3,39.2,38.8,39.2,35.2,34.4,35.7,29.7,0.50%
CO2,34.3,33,34.6,36.3,37.3,38,39.8,41.8,41.5,42.2,41.3,39.9,43.7,39,41.8,37.7,37.9,44.8,40.5,39.6,40,40.7,42.7,41.7,43.6,40.6,38.5,38.1,38.6,34.7,33.8,35.1,29.2,0.50%
CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+%
