Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Gas (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Phosphoric Acid Production,"1,529","1,398","1,509","1,304","1,519","1,513","1,551","1,544","1,593","1,539","1,382","1,264","1,338","1,382","1,395","1,342","1,160","1,203","1,132",977,"1,087","1,171","1,118","1,149","1,037",999,998,"1,025",937,909,901,874,840
Lead Production,516,485,488,486,507,553,563,585,588,587,594,563,561,574,546,553,560,562,547,525,542,538,527,546,477,473,500,513,527,531,450,439,428
Carbide Production and Consumption,243,156,184,165,194,198,225,240,263,193,200,169,178,197,218,213,201,190,171,142,177,167,154,165,169,176,170,181,184,175,154,172,210
Abandoned Oil and Gas Wells,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8
Substitution of Ozone Depleting Substances,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4
Magnesium Production and Processing,129,129,129,129,140,147,148,148,148,147,147,109,4,4,3,4,3,4,3,2,2,3,2,2,2,3,3,3,2,2,3,3,3
Biomass and Biodiesel Consumptiona,"237,946","235,376","247,886","242,098","249,279","254,034","258,434","251,516","232,763","235,286","242,242","218,222","219,377","224,651","240,190","245,421","252,266","259,985","272,922","269,130","305,688","312,743","305,846","331,655","339,106","333,472","332,672","328,887","335,971","333,057","295,695","303,014","305,417"
International Bunker Fuelsb,"103,634","117,740","108,002","97,965","96,812","98,609","99,861","107,063","110,594","102,834","101,895","93,890","94,600","98,484","108,610","113,328","114,269","115,463","114,458","106,511","117,101","111,746","105,889","99,840","103,488","110,980","116,682","120,192","124,279","113,632","69,638","80,180","98,241"
CH4c,"31,131","31,416","31,335","30,888","31,193","30,950","30,776","30,283","29,838","29,136","29,132","28,824","28,610","28,612","28,444","28,408","28,809","28,938","29,342","28,813","28,843","27,796","27,288","27,364","27,228","27,300","26,593","27,124","27,553","26,941","26,262","25,731","25,084"
Enteric Fermentation,"6,539","6,548","6,738","6,835","6,958","7,114","7,071","6,934","6,858","6,864","6,793","6,752","6,764","6,768","6,642","6,722","6,833","6,947","6,921","6,884","6,816","6,727","6,640","6,595","6,519","6,639","6,853","6,998","7,028","7,045","7,010","7,017","6,878"
