Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CH4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5
N2O,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.3
HFCs,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.8,0.9,1.2,1.5,1.7,2.0,2.3,2.6,2.9,3.2,3.6,3.9,4.2,4.5,4.8
Rail,39.0,36.8,37.7,38.8,41.7,43.1,43.9,44.1,44.4,46.0,46.6,46.9,46.4,48.1,50.9,51.4,53.4,52.5,48.7,41.1,44.0,45.1,43.8,44.4,46.2,44.0,40.2,41.3,42.5,39.7,34.2,35.5,35.6
CO2,38.5,36.4,37.3,38.4,41.2,42.7,43.4,43.6,43.9,45.5,46.0,46.3,45.8,47.5,50.2,50.8,52.7,51.8,48.1,40.5,43.4,44.5,43.3,43.8,45.6,43.4,39.6,40.7,41.9,39.1,33.7,34.9,35.0
CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
N2O,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
HFCs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Other Emissions from Electric Powerd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Pipelinese,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.7,36.8,33.0,31.7,32.8,32.8,34.9,36.5,37.7,37.8,38.6,41.0,46.7,39.8,38.9,39.6,41.7,50.3,58.3,58.0,64.4,69.3
CO2,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.2,35.7,35.5,34.7,36.8,33.0,31.7,32.8,32.8,34.9,36.5,37.7,37.8,38.6,41.0,46.7,39.8,38.9,39.6,41.7,50.3,58.3,58.0,64.4,69.3
